"Title","Writing attainments for children aged 7 to 11 (key stage 2)"
"Time period","2015/16"
"Location","England"
"Source","Key stage 2 statistics"
"Department","Department for Education"
"Last update","12 January 2017 (revised)"
"
"
Measure,Year,Year_type,Region,Local Authority,LA Code,Ethnicity,Ethnicity type,Gender,Gender_type,Value,Value_type,Denominator
Percentage of pupils reaching the expected standard in writing by ethnicity ,2015 to 2016,Academic year,England,All,E92000001,All,All,All,All/Boys/Girls,74,%,"585,577"
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,East Midlands,Derby,E06000015,All,All,All,All/Boys/Girls,72,%,"2,916"
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,East Midlands,Derbyshire,E10000007,All,All,All,All/Boys/Girls,75,%,"8,072"
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,East Midlands,Leicester,E06000016,All,All,All,All/Boys/Girls,78,%,"3,968"
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,East Midlands,Leicestershire,E10000018,All,All,All,All/Boys/Girls,74,%,"7,158"
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,East Midlands,Lincolnshire,E10000019,All,All,All,All/Boys/Girls,73,%,"7,348"
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,East Midlands,Northamptonshire,E10000021,All,All,All,All/Boys/Girls,72,%,"8,420"
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,East Midlands,Nottingham,E06000018,All,All,All,All/Boys/Girls,72,%,"3,106"
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,East Midlands,Nottinghamshire,E10000024,All,All,All,All/Boys/Girls,75,%,"8,410"
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,East Midlands,Rutland,E06000017,All,All,All,All/Boys/Girls,74,%,375
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,West Midlands,Birmingham,E08000025,All,All,All,All/Boys/Girls,69,%,"14,581"
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,West Midlands,Coventry,E08000026,All,All,All,All/Boys/Girls,72,%,"3,793"
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,West Midlands,Dudley,E08000027,All,All,All,All/Boys/Girls,73,%,"3,678"
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,West Midlands,"Herefordshire, County of",E06000019,All,All,All,All/Boys/Girls,74,%,"1,774"
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,West Midlands,Sandwell,E08000028,All,All,All,All/Boys/Girls,73,%,"4,078"
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,West Midlands,Shropshire,E06000051,All,All,All,All/Boys/Girls,68,%,"2,930"
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,West Midlands,Solihull,E08000029,All,All,All,All/Boys/Girls,79,%,"2,547"
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,West Midlands,Staffordshire,E10000028,All,All,All,All/Boys/Girls,74,%,"9,028"
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,West Midlands,Stoke-on-Trent,E06000021,All,All,All,All/Boys/Girls,70,%,"2,897"
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,West Midlands,Telford and Wrekin,E06000020,All,All,All,All/Boys/Girls,74,%,"2,078"
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,West Midlands,Walsall,E08000030,All,All,All,All/Boys/Girls,77,%,"3,412"
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,West Midlands,Warwickshire,E10000031,All,All,All,All/Boys/Girls,77,%,"5,807"
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,West Midlands,Wolverhampton,E08000031,All,All,All,All/Boys/Girls,75,%,"2,883"
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,West Midlands,Worcestershire,E10000034,All,All,All,All/Boys/Girls,70,%,"5,942"
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,East,Bedford,E06000055,All,All,All,All/Boys/Girls,68,%,"1,933"
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,East,Cambridgeshire,E10000003,All,All,All,All/Boys/Girls,72,%,"6,340"
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,East,Central Bedfordshire,E06000056,All,All,All,All/Boys/Girls,77,%,"3,073"
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,East,Essex,E10000012,All,All,All,All/Boys/Girls,76,%,"15,212"
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,East,Hertfordshire,E10000015,All,All,All,All/Boys/Girls,79,%,"12,706"
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,East,Luton,E06000032,All,All,All,All/Boys/Girls,70,%,"2,947"
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,East,Norfolk,E10000020,All,All,All,All/Boys/Girls,77,%,"8,298"
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,East,Peterborough,E06000031,All,All,All,All/Boys/Girls,72,%,"2,494"
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,East,Southend-on-Sea,E06000033,All,All,All,All/Boys/Girls,79,%,"1,902"
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,East,Suffolk,E10000029,All,All,All,All/Boys/Girls,71,%,"7,482"
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,East,Thurrock,E06000034,All,All,All,All/Boys/Girls,76,%,"2,142"
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,London,Camden,E09000007,All,All,All,All/Boys/Girls,76,%,"1,509"
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,London,City of London,E09000001,All,All,All,All/Boys/Girls,!,%,28
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,London,Hackney,E09000012,All,All,All,All/Boys/Girls,85,%,"2,429"
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,London,Hammersmith and Fulham,E09000013,All,All,All,All/Boys/Girls,78,%,"1,270"
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,London,Haringey,E09000014,All,All,All,All/Boys/Girls,82,%,"2,852"
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,London,Islington,E09000019,All,All,All,All/Boys/Girls,80,%,"1,761"
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,London,Kensington and Chelsea,E09000020,All,All,All,All/Boys/Girls,84,%,913
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,London,Lambeth,E09000022,All,All,All,All/Boys/Girls,81,%,"2,771"
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,London,Lewisham,E09000023,All,All,All,All/Boys/Girls,77,%,"3,185"
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,London,Newham,E09000025,All,All,All,All/Boys/Girls,84,%,"4,396"
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,London,Southwark,E09000028,All,All,All,All/Boys/Girls,80,%,"3,063"
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,London,Tower Hamlets,E09000030,All,All,All,All/Boys/Girls,83,%,"3,008"
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,London,Wandsworth,E09000032,All,All,All,All/Boys/Girls,79,%,"2,198"
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,London,Westminster,E09000033,All,All,All,All/Boys/Girls,79,%,"1,420"
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,London,Barking and Dagenham,E09000002,All,All,All,All/Boys/Girls,80,%,"3,046"
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,London,Barnet,E09000003,All,All,All,All/Boys/Girls,73,%,"3,731"
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,London,Bexley,E09000004,All,All,All,All/Boys/Girls,80,%,"2,972"
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,London,Brent,E09000005,All,All,All,All/Boys/Girls,74,%,"3,433"
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,London,Bromley,E09000006,All,All,All,All/Boys/Girls,81,%,"3,402"
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,London,Croydon,E09000008,All,All,All,All/Boys/Girls,78,%,"4,160"
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,London,Ealing,E09000009,All,All,All,All/Boys/Girls,74,%,"3,849"
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,London,Enfield,E09000010,All,All,All,All/Boys/Girls,77,%,"4,091"
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,London,Greenwich,E09000011,All,All,All,All/Boys/Girls,83,%,"2,930"
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,London,Harrow,E09000015,All,All,All,All/Boys/Girls,77,%,"2,668"
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,London,Havering,E09000016,All,All,All,All/Boys/Girls,84,%,"2,857"
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,London,Hillingdon,E09000017,All,All,All,All/Boys/Girls,75,%,"3,471"
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,London,Hounslow,E09000018,All,All,All,All/Boys/Girls,80,%,"2,677"
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,London,Kingston upon Thames,E09000021,All,All,All,All/Boys/Girls,72,%,"1,708"
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,London,Merton,E09000024,All,All,All,All/Boys/Girls,73,%,"2,013"
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,London,Redbridge,E09000026,All,All,All,All/Boys/Girls,78,%,"3,669"
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,London,Richmond upon Thames,E09000027,All,All,All,All/Boys/Girls,77,%,"1,988"
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,London,Sutton,E09000029,All,All,All,All/Boys/Girls,83,%,"2,005"
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,London,Waltham Forest,E09000031,All,All,All,All/Boys/Girls,81,%,"2,989"
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,South East,Bracknell Forest,E06000036,All,All,All,All/Boys/Girls,75,%,"1,311"
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,South East,Brighton and Hove,E06000043,All,All,All,All/Boys/Girls,76,%,"2,396"
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,South East,Buckinghamshire,E10000002,All,All,All,All/Boys/Girls,71,%,"5,701"
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,South East,East Sussex,E10000011,All,All,All,All/Boys/Girls,74,%,"5,034"
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,South East,Hampshire,E10000014,All,All,All,All/Boys/Girls,80,%,"14,044"
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,South East,Isle of Wight,E06000046,All,All,All,All/Boys/Girls,74,%,"1,327"
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,South East,Kent,E10000016,All,All,All,All/Boys/Girls,80,%,"16,076"
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,South East,Medway,E06000035,All,All,All,All/Boys/Girls,74,%,"3,087"
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,South East,Milton Keynes,E06000042,All,All,All,All/Boys/Girls,76,%,"3,227"
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,South East,Oxfordshire,E10000025,All,All,All,All/Boys/Girls,69,%,"6,692"
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,South East,Portsmouth,E06000044,All,All,All,All/Boys/Girls,73,%,"2,007"
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,South East,Reading,E06000038,All,All,All,All/Boys/Girls,77,%,"1,478"
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,South East,Slough,E06000039,All,All,All,All/Boys/Girls,79,%,"1,954"
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,South East,Southampton,E06000045,All,All,All,All/Boys/Girls,77,%,"2,300"
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,South East,Surrey,E10000030,All,All,All,All/Boys/Girls,76,%,"11,122"
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,South East,West Berkshire,E06000037,All,All,All,All/Boys/Girls,70,%,"1,675"
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,South East,West Sussex,E10000032,All,All,All,All/Boys/Girls,61,%,"8,239"
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,South East,Windsor and Maidenhead,E06000040,All,All,All,All/Boys/Girls,75,%,"1,340"
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,South East,Wokingham,E06000041,All,All,All,All/Boys/Girls,75,%,"1,868"
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,South West,Bath and North East Somerset,E06000022,All,All,All,All/Boys/Girls,71,%,"1,715"
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,South West,Bournemouth,E06000028,All,All,All,All/Boys/Girls,75,%,"1,554"
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,South West,"Bristol, City of",E06000023,All,All,All,All/Boys/Girls,74,%,"4,267"
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,South West,Cornwall,E06000052,All,All,All,All/Boys/Girls,73,%,"5,531"
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,South West,Devon,E10000008,All,All,All,All/Boys/Girls,70,%,"7,471"
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,South West,Dorset,E10000009,All,All,All,All/Boys/Girls,60,%,"4,049"
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,South West,Gloucestershire,E10000013,All,All,All,All/Boys/Girls,70,%,"6,105"
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,South West,Isles of Scilly,E06000053,All,All,All,All/Boys/Girls,60,%,20
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,South West,North Somerset,E06000024,All,All,All,All/Boys/Girls,76,%,"2,150"
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,South West,Plymouth,E06000026,All,All,All,All/Boys/Girls,73,%,"2,665"
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,South West,Poole,E06000029,All,All,All,All/Boys/Girls,75,%,"1,320"
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,South West,Somerset,E10000027,All,All,All,All/Boys/Girls,74,%,"5,481"
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,South West,South Gloucestershire,E06000025,All,All,All,All/Boys/Girls,70,%,"3,086"
